Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6
188,Caisse Regionale de Credit Agricole Mutuel de la Touraine et du Poitou,$487.6 M,France,French Financials,French Banks—Regional,
189,Galimmo SA,"$477.4 M  (July 1, 2024)",France,French Real Estate,French Real Estate—Diversified,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
190,Marie Brizard Wine & Spirits SA,$457.6 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,
191,Boiron SA,$451.6 M,France,French Healthcare,French Drug Manufacturers—Specialty & Generic,
192,Fiducial Real Estate SA,$444.6 M,France,French Real Estate,French Real Estate Services,
193,Linedata Services SA,$442.5 M,France,French Technology,French Software—Application,
194,Caisse Regionale de Credit Agricole Mutuel d'Ille-et-Vilaine,$429.9 M,France,French Financials,French Banks—Regional,
195,Roche Bobois SA,$424.7 M,France,French Consumer Discretionary,"French Furnishings, Fixtures & Appliances",
196,Atos SE,$391.2 M,France,French Technology,French Information Technology Services,
197,Fonciere INEA,$387.2 M,France,French Real Estate,French REIT—Office,
198,Malteries Franco Belges,$376.7 M,France,French Consumer Staples,French Beverages—Brewers,
199,Union Financière de France Banque SA,"$369.9 M  (Feb. 1, 2023)",France,French Financials,French Asset Management,
200,Valneva SE,$369.7 M,France,French Healthcare,French Biotechnology,
201,Selectirente,$364.0 M,France,French Real Estate,French REIT—Retail,
202,Immobiliere Dassault SA,$363.5 M,France,French Real Estate,French REIT—Diversified,
203,Caisse Regionale de Credit Agricole du Morbihan,$357.5 M,France,French Financials,French Banks—Regional,
204,Jacquet Metal Service SA,$357.5 M,France,French Basic Materials,French Steel,
205,Guerbet SA,$352.8 M,France,French Healthcare,French Medical Devices,
206,CGG,$352.2 M,France,French Energy,French Oil & Gas Equipment & Services,
207,Hopium SA,"$348.9 M  (Jan. 1, 2022)",France,French Consumer Discretionary,French Auto Manufacturers,
208,Olympique Lyonnais Groupe SA,$345.2 M,France,French Consumer Discretionary,French Leisure,
209,Clasquin,$343.8 M,France,French Industrials,French Integrated Freight & Logistics,
210,Patrimoine et Commerce,$340.9 M,France,French Real Estate,French REIT—Diversified,
