Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6,Market Cap ( Billion USD)
136,Caisse Regionale de Credit Agricole Mutuel Brie Picardie,$1.03 B,France,French Financials,French Banks—Regional,,1.03
137,Mercialys,$1.01 B,France,French Real Estate,French REIT—Retail,,1.01
138,ESI Group,"$974.5 M  (Jan. 1, 2024)",France,French Technology,French Software—Application,,974500000.0
139,Frey SA,$934.2 M,France,French Real Estate,French REIT—Retail,,934200000.0
140,Electricite de Strasbourg SA,$932.5 M,France,French Utilities,French Utilities—Renewable,,932500000.0
141,Voltalia SA,$928.8 M,France,French Utilities,French Utilities—Renewable,,928800000.0
142,Manutan International SA,"$870.7 M  (Feb. 1, 2023)",France,French Industrials,French Specialty Business Services,,870700000.0
143,Altareit SCA,$869.6 M,France,French Real Estate,French Real Estate—Development,,869600000.0
144,Derichebourg SA,$851.9 M,France,French Industrials,French Waste Management,,851900000.0
145,Vetoquinol SA,$837.1 M,France,French Healthcare,French Drug Manufacturers—Specialty & Generic,,837100000.0
146,Fnac Darty SA,$798.8 M,France,French Consumer Discretionary,French Specialty Retail,,798800000.0
147,Tarkett SA,$794.4 M,France,French Industrials,French Building Products & Equipment,,794400000.0
148,Cie des Alpes,$778.2 M,France,French Consumer Discretionary,French Leisure,,778200000.0
149,Delta Plus Group,"$752.5 M  (Dec. 1, 2021)",France,French Consumer Discretionary,French Footwear & Accessories,,752500000.0
150,VIEL & Cie SA,$750.3 M,France,French Financials,French Capital Markets,,750300000.0
151,Bénéteau SA,$747.3 M,France,French Consumer Discretionary,French Leisure,,747300000.0
152,Pierre et Vacances SA,$734.4 M,France,French Consumer Discretionary,French Lodging,,734400000.0
153,Savencia SA,$714.6 M,France,French Consumer Staples,French Packaged Foods,,714600000.0
154,Korian,$713.5 M,France,French Healthcare,French Medical Care Facilities,,713500000.0
155,Acanthe Développement SA,$711.8 M,France,French Real Estate,French REIT—Office,,711800000.0
156,Synergie SA,$710.0 M,France,French Industrials,French Staffing & Employment Services,,710000000.0
157,Groupe Crit,$701.3 M,France,French Industrials,French Staffing & Employment Services,,701300000.0
158,BASSAC Societe anonyme,$700.8 M,France,French Consumer Discretionary,French Residential Construction,,700800000.0
159,Nexity SA,$699.7 M,France,French Real Estate,French Real Estate—Diversified,,699700000.0
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
160,Elior Group SA,$677.8 M,France,French Consumer Discretionary,French Restaurants,,677800000.0
161,Thermador Groupe,$661.3 M,France,French Industrials,French Industrial Distribution,,661300000.0
162,Caisse Regionale de Credit Agricole Mutuel Alpes Provence,$659.9 M,France,French Financials,French Banks—Regional,,659900000.0
