Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Type,Status,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Follow on index,Exits,Stages of investment,Areas of investment
Anjou Amorcage,,0,,anjou-amorcage,https://unicorn-nest.com/funds/anjou-amorcage,,,1,0,1,,,,,,
Arkea Capital,,0,,arkea-capital,https://unicorn-nest.com/funds/arkea-capital,,,,0,,,,,,,
Aster,,0,,aster,https://unicorn-nest.com/funds/aster,Venture Capital,Active,192,0,64,8.00,17,0.67,13,SeedEarly Stage Venture,Real EstateSoftwareInformation TechnologyEnterprise SoftwareManufacturingComputerElectronicsEnergyRenewable EnergyIndustrial
Asterion Ventures,,0,,asterion-ventures,https://unicorn-nest.com/funds/asterion-ventures,,,13,0,13,4.33,5,,,,SoftwareFinancial ServicesFinTechInformation TechnologyAppsFashionCleanTechChemicalGreenTechTextiles
Astorya.Vc,,0,,astoryavc,https://unicorn-nest.com/funds/astoryavc,,,,0,,,,,,,
Athos Capital,,0,,athos-capital,https://unicorn-nest.com/funds/athos-capital,Venture Capital,Active,42,0,32,5.25,5,0.24,,Early Stage Venture,InternetSoftwareAnalyticsInformation TechnologyRentalHuman ResourcesArtificial IntelligenceSaaSEducationDigital Media
Atlantique Business Angels Booster,,0,,atlantique-business-angels-booster,https://unicorn-nest.com/funds/atlantique-business-angels-booster,,,,0,,,,,,,
Aurica Capital,,0,,aurica-capital,https://unicorn-nest.com/funds/aurica-capital,,,13,0,12,0.81,4,0.08,,Early Stage Venture,ManufacturingMarketingEventsSocial MediaRenewable EnergyBrand MarketingHospitalityChemicalSolarContent Creators
Axeleo Capital,,0,,axeleo-capital,https://unicorn-nest.com/funds/axeleo-capital,Venture Capital,Active,,0,,,,,,,
B.Digital Partners,,0,,bdigital-partners,https://unicorn-nest.com/funds/bdigital-partners,,,,0,,,,,,,
Badge,,0,,badge,https://unicorn-nest.com/funds/badge,,,,0,,,,,,,
Bankinter,,0,,bankinter,https://unicorn-nest.com/funds/bankinter,,,,0,,,,,,,
Banque Des Territoires,,0,,banque-des-territoires,https://unicorn-nest.com/funds/banque-des-territoires,,,75,0,66,,6,0.12,1,,AutomotiveTransportationSoftwareInformation TechnologyRentalHealth CareRenewable EnergyElectric VehicleAgricultureFarming
Be Angels,,0,,be-angels,https://unicorn-nest.com/funds/be-angels,,,21,0,19,0.88,4,0.10,,SeedPrivate EquityEarly Stage Venture,SoftwareFinTechInformation TechnologyGamingHealth CareHospitalSaaSAppsEdTechMedical
Bertelsmann Asia Ivestments,,0,,bertelsmann-asia-ivestments,https://unicorn-nest.com/funds/bertelsmann-asia-ivestments,,,,0,,,,,,,
Bewater Funds,,0,,bewater-funds,https://unicorn-nest.com/funds/bewater-funds,Other,Active,23,0,17,3.83,10,0.26,,Secondary Market,E-CommerceSoftwareFood and BeverageFood ProcessingMachine LearningSaaSDelivery ServiceHome Health CareFood DeliveryElder Care
Big Sur Ventures,,0,,big-sur-ventures,https://unicorn-nest.com/funds/big-sur-ventures,Venture Capital,Active,61,0,39,5.08,12,0.36,1,SeedEarly Stage Venture,AutomotiveLogisticsE-CommerceInternetSoftwareRetailArtificial IntelligenceSaaSAppsFashion
Blackwood Ventures,,0,,blackwood-ventures,https://unicorn-nest.com/funds/blackwood-ventures,,,8,0,8,4.00,,,,,SoftwareB2BSaaSSocial NetworkProduct DesignGraphic DesignMusicRenewable EnergyContent CreatorsIndustrial Design
Bolt-Overview,,0,,bolt-overview,https://unicorn-nest.com/funds/bolt-overview,,,,0,,,,,,,
Bonsai Partners,,0,,bonsai-partners,https://unicorn-nest.com/funds/bonsai-partners,Venture Capital,Active,45,0,30,7.50,3,0.33,3,Early Stage Venture,LogisticsE-CommerceSoftwareFinTechFinanceArtificial IntelligenceAppsMarketplaceTravelTourism
Bpifrance,,0,,bpifrance,https://unicorn-nest.com/funds/bpifrance,CVC,Active,1329,0,1042,110.75,206,0.21,96,SeedPrivate EquityEarly Stage Venture,BiotechnologyE-CommerceInternetSoftwareInformation TechnologyArtificial IntelligenceHealth CareSaaSManufacturingMedical
Breega Capital,,0,,breega-capital,https://unicorn-nest.com/funds/breega-capital,,,113,0,83,10.27,30,0.27,5,SeedEarly Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyPaymentsArtificial IntelligenceSaaSApps
Breizh Up,,0,,breizh-up,https://unicorn-nest.com/funds/breizh-up,,,24,0,18,,1,0.25,,,Information TechnologyArtificial IntelligenceHealth CareAerospaceManufacturingCyber SecurityNetwork SecurityTelecommunicationsAgricultureMachinery Manufacturing
Bright Pixel,,0,,bright-pixel,https://unicorn-nest.com/funds/bright-pixel,,,20,0,13,2.86,1,0.30,1,SeedEarly Stage Venture,InternetSoftwareInformation TechnologyArtificial IntelligenceSaaS3D TechnologyCyber SecurityComputerWeb AppsLocation Based Services
Brookfield Asset Management,,0,,brookfield-asset-management,https://unicorn-nest.com/funds/brookfield-asset-management,Venture Capital,Active,43,0,36,0.34,13,0.16,9,,Real EstateSoftwareFinancial ServicesEnergyRenewable EnergyCommercial Real EstateSolarEnergy EfficiencyClean EnergyOil and Gas
Btp Capital Investissement,,0,,btp-capital-investissement,https://unicorn-nest.com/funds/btp-capital-investissement,,Active,8,0,6,,,0.25,1,,InternetSoftwareInformation TechnologyRentalMobile AppsConstructionVirtual RealityTelecommunicationsCommunications InfrastructureSharing Economy
Business Angels Club Deal,,0,,business-angels-club-deal,https://unicorn-nest.com/funds/business-angels-club-deal,,,,0,,,,,,,
C4 Ventures,,0,,c4-ventures,https://unicorn-nest.com/funds/c4-ventures,Venture Capital,Active,62,0,46,5.17,12,0.26,5,Early Stage Venture,E-CommerceInternetSoftwareAnalyticsArtificial IntelligenceMachine LearningSaaSFashionHardwareConsumer Electronics
Caixa Capital,,0,,caixa-capital,https://unicorn-nest.com/funds/caixa-capital,Venture Capital,Active,66,0,39,2.00,8,0.39,1,SeedPrivate EquityEarly Stage Venture,InternetSoftwareInformation TechnologyB2BMobileArtificial IntelligenceHealth CareSaaSManufacturingDeveloper Tools
Canaan Partners,,0,,canaan-partners,https://unicorn-nest.com/funds/canaan-partners,,,784,0,398,21.19,157,0.49,136,Early Stage VentureLate Stage Venture,BiotechnologyE-CommerceInternetSoftwareInformation TechnologyHealth CareSaaSEnterprise SoftwareMedicalTherapeutics
Cap2025,,0,,cap2025,https://unicorn-nest.com/funds/cap2025,,,,0,,,,,,,
Caphorn Invest,,0,,caphorn-invest,https://unicorn-nest.com/funds/caphorn-invest,Venture Capital,Active,81,0,49,5.79,17,0.40,2,SeedEarly Stage Venture,E-CommerceInternetSupply Chain ManagementSoftwareAnalyticsInformation TechnologyMobileArtificial IntelligenceMachine LearningSaaS
Capital One,,0,,capital-one,https://unicorn-nest.com/funds/capital-one,Bank,Active,45,0,35,1.50,4,0.13,12,Early Stage VentureLate Stage Venture,AutomotiveReal EstateSoftwareFinancial ServicesInformation TechnologyMobile AppsEnterprise SoftwareCloud Data ServicesService IndustryCommercial Real Estate
Capitole Angels,,0,,capitole-angels,https://unicorn-nest.com/funds/capitole-angels,Angel Group/Syndicate,Active,21,0,20,1.17,2,,1,Seed,AutomotiveBiotechnologyInternetSoftwareInformation TechnologyHealth CareEducation3D TechnologyManufacturingLighting
Cdp Venture Capital,,0,,cdp-venture-capital,https://unicorn-nest.com/funds/cdp-venture-capital,Venture Capital,,129,0,106,,20,0.18,,,SoftwareFinTechInformation TechnologyArtificial IntelligenceFood and BeverageHealth CareSaaSAppsEducationMedical
