Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Areas of investment,Follow on index,Exits,Stages of investment,Type,Status
Zakeke,"Lombardy, Milan, Italy",1,0,zakeke,https://unicorn-nest.com/funds/zakeke,1,0,1,0.17,,3D TechnologyAugmented RealityFashion,,,,,
Zalando,"Berlin, Berlin, Germany",17,5,zalando,https://unicorn-nest.com/funds/zalando,17,0,12,1.06,5,BiotechnologyWholesaleE-CommerceInternetSoftwareRetailSaaSMarketplaceFashionShopping,0.24,2,,Corporate investor,Active
Zaldi Capital,"Al Qahirah, Cairo, Egypt",1,0,zaldi-capital,https://unicorn-nest.com/funds/zaldi-capital,1,0,1,0.17,,E-LearningLegal,,,,,
Zall Capital,,1,1,zall-capital,https://unicorn-nest.com/funds/zall-capital,1,0,1,,1,Food and BeverageCatering,,,,,
Zall Group,"Hubei, Wuhan, China",3,1,zall-group,https://unicorn-nest.com/funds/zall-group,3,0,3,0.12,1,E-CommerceFinancial ServicesB2BFood and BeverageBankingGraphic DesignService IndustryTrading PlatformPrintingSeafood,,,Early Stage Venture,,
Zaluvida,,2,2,zaluvida,https://unicorn-nest.com/funds/zaluvida,2,0,2,,2,BiotechnologyHealth CareMedical DeviceAgTechAnimal FeedAgriculture,,,,,
Zamagias Properties Inc.,"United States, Pennsylvania, Pittsburgh",1,0,zamagias-properties-inc,https://unicorn-nest.com/funds/zamagias-properties-inc,1,0,1,0.03,,Robotics3D TechnologyReal TimeConstructionAutonomous VehiclesLocation Based ServicesGeospatialMapping ServicesArchitectureCivil Engineering,,,,,
Zambian venture capital,,1,0,zambian-venture-capital,https://unicorn-nest.com/funds/zambian-venture-capital,1,0,1,,,E-CommerceShoppingShipping,,,,,
Zamil Group,,4,0,zamil-group,https://unicorn-nest.com/funds/zamil-group,4,0,3,,,LogisticsInternetFinTechInformation TechnologyArtificial IntelligenceSaaSMarketplaceSmart HomeHome ServicesVocational Education,0.25,,,,
Zamit Capital,,2,0,zamit-capital,https://unicorn-nest.com/funds/zamit-capital,2,0,2,,,LogisticsBiotechnologyFinTechInformation TechnologySaaSMedical,,,,,
Zamora Co.,"Madrid, Madrid, Spain",1,0,zamora-co,https://unicorn-nest.com/funds/zamora-co,1,0,1,,,Food and BeverageWine And SpiritsDistillery,,,,,
Zample Corporation,"United States, Phoenix",6,3,zample-corporation,https://unicorn-nest.com/funds/zample-corporation,6,0,4,3.00,3,SoftwareArtificial IntelligenceWeb HostingVideo Games,0.33,,,Other,Active
Zamrud Sovereign Wealth Fund,,2,0,zamrud-sovereign-wealth-fund,https://unicorn-nest.com/funds/zamrud-sovereign-wealth-fund,2,0,1,,,LogisticsTransportationDelivery,0.50,,,,
Zamsaham Private Client,"Johor, Senai, Malaysia",2,1,zamsaham-private-client,https://unicorn-nest.com/funds/zamsaham-private-client,2,0,2,,1,WholesaleRetailFood and BeveragePharmaceuticalHotel,,,,,
Zan Capital,"Shanghai, China",3,1,zan-capital,https://unicorn-nest.com/funds/zan-capital,3,0,2,0.27,1,InternetInformation TechnologyMobileEducationChildrenTelecommunications,0.33,1,,,
Zana Capital,"Central Region, Singapore, Singapore",3,0,zana-capital,https://unicorn-nest.com/funds/zana-capital,3,0,3,,,Food ProcessingManufacturingPrecious Metals,,,Private Equity,,
Zanadu Capital Partners,"United States, California, Carmel",3,0,zanadu-capital-partners,https://unicorn-nest.com/funds/zanadu-capital-partners,3,0,3,,,InternetSoftwareFinTechContentMarketingMarket ResearchAdvertisingRisk ManagementComplianceIdentity Management,,2,Early Stage VentureLate Stage Venture,,
Zane Venture Fund,"United States, Atlanta",23,5,zane-venture-fund,https://unicorn-nest.com/funds/zane-venture-fund,23,0,21,4.60,5,E-CommerceBeautyConsumer GoodsMachine LearningSaaSMarketplaceFilmE-Commerce PlatformsSubscription ServiceFilm Production,0.04,,SeedEarly Stage Venture,Venture Capital,Active
Zanett,"United States, New York, New York",2,0,zanett,https://unicorn-nest.com/funds/zanett,2,0,2,0.07,,E-CommerceEducationWeb DesignIndustrialWeb HostingMechanical Design,,,,,
Zanichelli Venture,"Emilia-Romagna, Bologna, Italy",16,1,zanichelli-venture,https://unicorn-nest.com/funds/zanichelli-venture,16,0,12,3.20,1,E-LearningAppsCommunitiesCorporate TrainingEdTechHigher EducationEducationNatural Language ProcessingLanguage LearningSTEM Education,0.25,,SeedEarly Stage Venture,,
Zanite Sponsor,"United States, Beachwood, Ohio",1,0,zanite-sponsor,https://unicorn-nest.com/funds/zanite-sponsor,1,0,1,,,Fleet ManagementElectric VehicleAir Transportation,,1,,,
Zanite Ventures,,2,0,zanite-ventures,https://unicorn-nest.com/funds/zanite-ventures,2,0,2,,,InternetMachine LearningSocial MediaAdvertisingSocial Media Marketing,,,,,
Zaoniao Jijin,,10,0,zaoniao-jijin,https://unicorn-nest.com/funds/zaoniao-jijin,10,0,10,1.25,,PublishingInformation TechnologyGamingGraphic DesignMusicOnline GamesAnimationMedia and EntertainmentDigital MediaFilm Production,,2,,,
Zap Ventures,"United States, California, Los Altos Hills",4,1,zap-ventures,https://unicorn-nest.com/funds/zap-ventures,4,0,2,,1,AutomotiveSupply Chain ManagementSoftwareInformation TechnologyEnterprise SoftwareManufacturing,0.50,2,Late Stage Venture,,
Zapier,,2,0,zapier,https://unicorn-nest.com/funds/zapier,2,0,2,,,SoftwareArtificial IntelligenceMachine LearningMarketing AutomationBig DataData IntegrationCloud ComputingSales Automation,,,,,
Zapis Capital Group,"United States, Ohio, Westlake",9,1,zapis-capital-group,https://unicorn-nest.com/funds/zapis-capital-group,9,0,7,0.50,1,BiotechnologyInformation TechnologySalesHealth CareSaaSMedical DeviceEvent ManagementEventsSportsTicketing,0.22,2,Early Stage Venture,,
Zappos,"United States, Nevada, Las Vegas",1,0,zappos,https://unicorn-nest.com/funds/zappos,1,0,1,0.04,,SoftwareAugmented RealityHardwareConsumer ElectronicsEyewear,,,,,
Zarco Investment Group,"United States, California, San Francisco",4,0,zarco-investment-group,https://unicorn-nest.com/funds/zarco-investment-group,4,0,4,0.36,,E-CommerceSoftwareInformation TechnologyB2BSaaSMarketingCrowdsourcingLegalCustomer ServicePrinting,,2,Early Stage Venture,,
Zarlink,"Ontario, Ottawa, Canada",1,0,zarlink,https://unicorn-nest.com/funds/zarlink,1,0,1,0.02,,ManufacturingSemiconductorEnergy Efficiency,,1,,,
Zauba Technologies,"Bangalore, Karnataka, India",1,0,zauba-technologies,https://unicorn-nest.com/funds/zauba-technologies,1,0,1,0.12,,InternetCommunities,,,Seed,,
Zayed Sustainability Prize,"Abu Dhabi Emirate, Abu Dhabi, United Arab Emirates",1,0,zayed-sustainability-prize,https://unicorn-nest.com/funds/zayed-sustainability-prize,1,0,1,0.06,,Peer to PeerEnergyRenewable EnergySolar,,,,,
Zayn Capital,,14,4,zayn-capital,https://unicorn-nest.com/funds/zayn-capital,3,0,3,,,SoftwareRentalE-LearningEdTechEducationConstructionIndustrialIndustrial AutomationArchitecture,,,Early Stage Venture,,
Zayn Capital,,14,4,zayn-capital,https://unicorn-nest.com/funds/zayn-capital,3,0,3,,,SoftwareRentalE-LearningEdTechEducationConstructionIndustrialIndustrial AutomationArchitecture,,,Early Stage Venture,,
Zayn Capital,,3,0,zayn-capital,https://unicorn-nest.com/funds/zayn-capital,3,0,3,,,SoftwareRentalE-LearningEdTechEducationConstructionIndustrialIndustrial AutomationArchitecture,,,Early Stage Venture,,
Zayn Capital,,3,0,zayn-capital,https://unicorn-nest.com/funds/zayn-capital,3,0,3,,,SoftwareRentalE-LearningEdTechEducationConstructionIndustrialIndustrial AutomationArchitecture,,,Early Stage Venture,,
Zcash Open Major Grants,,2,1,zcash-open-major-grants,https://unicorn-nest.com/funds/zcash-open-major-grants,2,0,2,,1,GovernmentSoftwareInformation TechnologyMessagingNetwork SecuritySecurityProject ManagementBlockchainLocation Based ServicesPrivacy,,,,,
Zcube,"Lombardia, Bresso, Italy",7,0,zcube,https://unicorn-nest.com/funds/zcube,7,0,5,0.35,,BiotechnologyHealth CareMedical DeviceMedicalPersonal HealthHome Health CareTherapeuticsmHealthBiopharmaRehabilitation,0.29,1,SeedEarly Stage Venture,,
Ze Union Capital Management,"Beijing, Haidian, China",1,1,ze-union-capital-management,https://unicorn-nest.com/funds/ze-union-capital-management,1,0,1,0.17,1,GamingEducationChildren,,,,,
Ze Way Invest,"Ile-de-France, Paris, France",1,0,ze-way-invest,https://unicorn-nest.com/funds/ze-way-invest,1,0,1,,,EnergyRenewable EnergySolar,,,Early Stage Venture,,
Ze.Flor,,1,0,zeflor,https://unicorn-nest.com/funds/zeflor,,0,,,,,,,,,
ZeHong Cehua,"Sichuan, Chengdu, China",1,0,zehong-cehua,https://unicorn-nest.com/funds/zehong-cehua,1,0,1,0.08,,GamingMedia and EntertainmentWeb Development,,1,,,
ZeLo Ventures,,1,0,zelo-ventures,https://unicorn-nest.com/funds/zelo-ventures,1,0,1,,,Real EstateBuilding Maintenance,,,,,
Zeacen Capital,,1,0,zeacen-capital,https://unicorn-nest.com/funds/zeacen-capital,1,0,1,,,Health CareMedical,,,,,
Zeal Capital Partners,"United States, Washington",24,7,zeal-capital-partners,https://unicorn-nest.com/funds/zeal-capital-partners,24,0,20,6.00,7,SoftwareFinancial ServicesFinTechInformation TechnologySaaSEdTechEducationBankingCreditConsulting,0.17,,Early Stage Venture,Venture Capital,Active
Zeal IT Consultants,"United States, Texas, Dallas",4,2,zeal-it-consultants,https://unicorn-nest.com/funds/zeal-it-consultants,4,0,4,0.40,2,Information TechnologyE-LearningeSportsAppsEnterprise SoftwareEducationEventsSportsEBooksEvent Promotion,,,,,
Zeal Investments,"Germany, Hamburg",3,0,zeal-investments,https://unicorn-nest.com/funds/zeal-investments,,0,,,,,,,,,
Zealand Pharma,"Hovedstaden, Copenhagen, Denmark",1,0,zealand-pharma,https://unicorn-nest.com/funds/zealand-pharma,1,0,1,0.04,,BiotechnologyMedical DeviceDiabetes,,,,,
Zealium Capital,,1,0,zealium-capital,https://unicorn-nest.com/funds/zealium-capital,1,0,1,,,Consumer GoodsFood and BeverageFood Delivery,,,,,
Zebec,"United States, California, San Francisco",1,1,zebec,https://unicorn-nest.com/funds/zebec,1,0,1,0.50,1,CryptocurrencyBlockchain,,,,,
Zebiao Zichan,"Shanghai, China",1,0,zebiao-zichan,https://unicorn-nest.com/funds/zebiao-zichan,1,0,1,0.10,,AccountingInternetFinancial Services,,1,,,
Zebpay,,2,0,zebpay,https://unicorn-nest.com/funds/zebpay,2,0,2,0.25,,InternetFinancial ServicesCryptocurrencyBlockchain,,,,,
Zebra Global Capital,"Beijing, Beijing, China",2,0,zebra-global-capital,https://unicorn-nest.com/funds/zebra-global-capital,2,0,2,0.40,,InternetRetailConsumerMobile AppsChildrenNewsNon ProfitSnack FoodChild Care,,,,,
Zebra Holdings and Investments,"Luxembourg, Luxembourg",9,0,zebra-holdings-and-investments,https://unicorn-nest.com/funds/zebra-holdings-and-investments,9,0,6,,,AnalyticsInformation TechnologyInformation ServicesFood and BeverageBig DataInsuranceSnack FoodMiningPrecious MetalsMineral,0.22,6,,,
Zebra Technologies,"United States, Lincolnshire",4,0,zebra-technologies,https://unicorn-nest.com/funds/zebra-technologies,4,0,3,0.12,,Business/Productivity SoftwareLogisticsE-CommerceSupply Chain ManagementSoftwareRetailRetail TechnologyRoboticsIndustrial AutomationWarehousing,0.25,,,Corporate investor,Active
Zebra Ventures,"United States, Illinois, Lincolnshire",24,1,zebra-ventures,https://unicorn-nest.com/funds/zebra-ventures,24,0,21,,1,Supply Chain ManagementSoftwareAnalyticsInformation TechnologyMobileEnterprise SoftwareRoboticsInternet of ThingsWirelessIndustrial Automation,0.12,8,Early Stage Venture,,
Zebu Investment Partners,"Gauteng, Johannesburg, South Africa",3,0,zebu-investment-partners,https://unicorn-nest.com/funds/zebu-investment-partners,3,0,3,,,E-CommerceConsumer GoodsSalesFood and BeverageHealth CareDeliveryMedicalAgTechWine And SpiritsAgriculture,,,Private Equity,,
Zech Group,,1,1,zech-group,https://unicorn-nest.com/funds/zech-group,1,0,1,,1,SoftwareConstruction,,,,,
Zed,"Madrid, Las Rozas De Madrid, Spain",2,0,zed,https://unicorn-nest.com/funds/zed,,0,,,,,,,,,
Zedcrest Capital Limited,"Lagos, Lagos, Nigeria",10,0,zedcrest-capital-limited,https://unicorn-nest.com/funds/zedcrest-capital-limited,10,0,9,1.00,,Financial ServicesFinTechAnalyticsInformation TechnologyRecruitingBankingCreditOutsourcingProcurementMicro Lending,0.10,,,,
